Partidas jogadas,(%) Vitórias do time da Casa,(%)vitórias do Visitantes,"Over 1,5 ",Média de gols por jogo,Média de gols do time da Casa,Média de gols marcados pelo time visitante,Gols marcado entre 0-15min,Gols marcado entre 16-30min,Gols marcado entre 31-45min,Gols marcado entre 46-60min,Gols marcado entre 61-75min,Gols marcado entre 76-90min,Periodo do 1º Gol,Total de gols no periodo do 1º Gol,Periodo do 2º Gol,Total de gols no periodo do 2º Gol,Periodo do 3º Gol,Total de gols no periodo do 3º Gol,Total de Gols marcado no 1º Tempo,Total de Gols marcado no 2º Tempo
353,43%,34%,76%,2.78,1.50,1.28,136,134,177,154,162,218,31 min.,332,49 min.,269,61 min.,187,447,447
353,43%,34%,76%,2.78,1.50,1.28,136,134,177,154,162,218,31 min.,332,49 min.,269,61 min.,187,447,447
353,43%,34%,76%,2.78,1.50,1.28,136,134,177,154,162,218,31 min.,332,49 min.,269,61 min.,187,447,447
353,43%,34%,76%,2.78,1.50,1.28,136,134,177,154,162,218,31 min.,332,49 min.,269,61 min.,187,447,447
353,43%,34%,76%,2.78,1.50,1.28,136,134,177,154,162,218,31 min.,332,49 min.,269,61 min.,187,447,447
353,43%,34%,76%,2.78,1.50,1.28,136,134,177,154,162,218,31 min.,332,49 min.,269,61 min.,187,447,447
353,43%,34%,76%,2.78,1.50,1.28,136,134,177,154,162,218,31 min.,332,49 min.,269,61 min.,187,447,447
353,43%,34%,76%,2.78,1.50,1.28,136,134,177,154,162,218,31 min.,332,49 min.,269,61 min.,187,447,447
353,43%,34%,76%,2.78,1.50,1.28,136,134,177,154,162,218,31 min.,332,49 min.,269,61 min.,187,447,447
353,43%,34%,76%,2.78,1.50,1.28,136,134,177,154,162,218,31 min.,332,49 min.,269,61 min.,187,447,447
353,43%,34%,76%,2.78,1.50,1.28,136,134,177,154,162,218,31 min.,332,49 min.,269,61 min.,187,447,447
353,43%,34%,76%,2.78,1.50,1.28,136,134,177,154,162,218,31 min.,332,49 min.,269,61 min.,187,447,447
