Partidas jogadas,(%) Vitórias do time da Casa,(%)vitórias do Visitantes,"Over 1,5 ",Média de gols por jogo,Média de gols do time da Casa,Média de gols marcados pelo time visitante,Gols marcado entre 0-15min,Gols marcado entre 16-30min,Gols marcado entre 31-45min,Gols marcado entre 46-60min,Gols marcado entre 61-75min,Gols marcado entre 76-90min,Periodo do 1º Gol,Total de gols no periodo do 1º Gol,Periodo do 2º Gol,Total de gols no periodo do 2º Gol,Periodo do 3º Gol,Total de gols no periodo do 3º Gol,Total de Gols marcado no 1º Tempo,Total de Gols marcado no 2º Tempo
367,42%,34%,77%,2.79,1.49,1.30,142,142,183,162,170,224,31 min.,345,50 min.,281,61 min.,195,467,556
367,42%,34%,77%,2.79,1.49,1.30,142,142,183,162,170,224,31 min.,345,50 min.,281,61 min.,195,467,556
367,42%,34%,77%,2.79,1.49,1.30,142,142,183,162,170,224,31 min.,345,50 min.,281,61 min.,195,467,556
367,42%,34%,77%,2.79,1.49,1.30,142,142,183,162,170,224,31 min.,345,50 min.,281,61 min.,195,467,556
367,42%,34%,77%,2.79,1.49,1.30,142,142,183,162,170,224,31 min.,345,50 min.,281,61 min.,195,467,556
367,42%,34%,77%,2.79,1.49,1.30,142,142,183,162,170,224,31 min.,345,50 min.,281,61 min.,195,467,556
367,42%,34%,77%,2.79,1.49,1.30,142,142,183,162,170,224,31 min.,345,50 min.,281,61 min.,195,467,556
367,42%,34%,77%,2.79,1.49,1.30,142,142,183,162,170,224,31 min.,345,50 min.,281,61 min.,195,467,556
367,42%,34%,77%,2.79,1.49,1.30,142,142,183,162,170,224,31 min.,345,50 min.,281,61 min.,195,467,556
367,42%,34%,77%,2.79,1.49,1.30,142,142,183,162,170,224,31 min.,345,50 min.,281,61 min.,195,467,556
367,42%,34%,77%,2.79,1.49,1.30,142,142,183,162,170,224,31 min.,345,50 min.,281,61 min.,195,467,556
367,42%,34%,77%,2.79,1.49,1.30,142,142,183,162,170,224,31 min.,345,50 min.,281,61 min.,195,467,556
